"Index","A","B","C"
01/05/2020,42.189999,12.041575,9.257127
04/05/2020,42.59,12.004862,9.110188
05/05/2020,43.200001,12.041575,9.071005
06/05/2020,43.25,12.059933,8.992638
07/05/2020,43.82,12.170068,9.061209
08/05/2020,44.360001,12.197601,9.159168
11/05/2020,44.669998,12.408696,9.100391
12/05/2020,43.880001,12.482121,8.953454
13/05/2020,43.330002,11.894725,8.679169
14/05/2020,43.73,11.801654,8.679169
15/05/2020,44.040001,11.997107,8.688964
18/05/2020,44.950001,12.127408,9.022025
19/05/2020,44.709999,12.322862,8.953454
20/05/2020,45.41,12.322862,9.090596
21/05/2020,44.98,12.322862,9.051413
22/05/2020,45.130001,12.322862,9.041616
26/05/2020,45.16,12.39732,9.29631
27/05/2020,45.529999,12.611387,9.46284
28/05/2020,45.560001,12.769612,9.492229
29/05/2020,46.09,13.030217,9.511821
01/06/2020,46.139999,13.253592,9.511821
02/06/2020,46.41,13.514195,9.580391
03/06/2020,46.759998,13.765493,9.786105
04/06/2020,46.32,13.607269,9.864472
05/06/2020,47.209999,13.709648,10.050595
08/06/2020,47.48,13.979562,10.177941
09/06/2020,47.490002,14.026096,10.040799
10/06/2020,47.869999,14.1564,9.923248
11/06/2020,45.419998,12.992987,9.227739
12/06/2020,45.889999,13.812029,9.364882
15/06/2020,46.27,13.472853,9.404065
16/06/2020,47.209999,13.576489,9.521616
17/06/2020,47.41,13.783765,9.453044
18/06/2020,47.509998,13.830873,9.24733
19/06/2020,47.41,13.915668,9.188556
22/06/2020,47.970001,14.038147,9.208147
23/06/2020,48.27,14.179471,9.266922
24/06/2020,47.18,14.085255,9.139576
25/06/2020,47.73,14.17005,9.208147
26/06/2020,46.639999,13.708392,9.080801
29/06/2020,47.139999,13.7555,9.12978
30/06/2020,47.98,13.981618,9.227739
01/07/2020,48.32,14.071123,9.227739
02/07/2020,48.57,14.198313,9.266922
06/07/2020,49.459999,14.443275,9.384473
07/07/2020,49,14.509225,9.335493
08/07/2020,49.580002,14.415009,9.325699
09/07/2020,49.720001,14.264265,9.29631
10/07/2020,49.849998,14.415009,9.453044
13/07/2020,49.009998,14.433854,9.433453
14/07/2020,49.59,14.462119,9.570596
15/07/2020,49.860001,14.528069,9.629371
16/07/2020,49.560001,14.575733,9.707738
17/07/2020,49.82,14.63293,9.697942
20/07/2020,50.799999,14.43274,9.697942
21/07/2020,50.419998,14.375544,9.639167
22/07/2020,50.66,14.251616,9.660944
23/07/2020,49.720001,14.127689,9.631248
24/07/2020,49.380001,14.203952,9.690639
27/07/2020,49.990002,14.013295,9.631248
28/07/2020,49.470001,13.851236,9.611451
29/07/2020,50.18,13.965631,9.789624
30/07/2020,50.330002,14.099091,9.720334
31/07/2020,50.900002,14.118156,9.700538
03/08/2020,51.41,14.36601,9.81932
04/08/2020,51.509998,14.509005,9.868813
05/08/2020,51.810001,14.423209,9.948
06/08/2020,52.32,14.404142,9.997493
07/08/2020,52.02,14.680594,10.116275
10/08/2020,51.970001,14.671062,10.225159
11/08/2020,51.27,14.775923,10.274651
12/08/2020,52.23,14.766391,10.314245
13/08/2020,52.259998,14.592783,10.195463
14/08/2020,52.150002,14.703698,10.14597
17/08/2020,52.580002,14.694053,10.106377
18/08/2020,52.849998,14.612071,10.096478
19/08/2020,52.529999,14.467398,10.076681
20/08/2020,52.900002,14.327546,9.977695
21/08/2020,53.169998,14.071955,10.046985
24/08/2020,53.48,14.086423,10.155869
25/08/2020,53.84,14.486688,10.106377
26/08/2020,54.75,14.689231,10.056884
27/08/2020,54.560001,14.592783,10.185564
28/08/2020,54.830002,14.795325,10.225159
31/08/2020,54.91,14.891774,10.136071
01/09/2020,55.41,14.853194,10.165768
02/09/2020,56.27,14.901419,10.294448
03/09/2020,53.759998,14.727812,10.056884
04/09/2020,52.950001,14.862841,10.126173
08/09/2020,51.099998,14.766391,10.017289
09/09/2020,52.470001,14.872485,10.14597
10/09/2020,51.529999,15.103963,10.027188
11/09/2020,51.32,15.248637,10.076681
14/09/2020,52.009998,15.518695,10.185564
15/09/2020,52.560001,14.611567,10.14597
16/09/2020,51.84,14.865173,10.264752
17/09/2020,51.34,14.689601,10.205361
18/09/2020,50.849998,14.826158,10.175666
21/09/2020,50.59,14.601814,9.928203
22/09/2020,51.419998,14.39698,9.928203
23/09/2020,50.119999,14.289684,9.829218
24/09/2020,50.349998,13.982432,9.769827
25/09/2020,51.41,14.153129,9.81932
28/09/2020,52.150002,14.084849,9.918305
29/09/2020,52.07,13.753213,9.809421
30/09/2020,52.380001,13.981457,9.898508
01/10/2020,52.959999,14.03608,9.928203
02/10/2020,52.09,13.912203,9.888609
05/10/2020,53.130001,14.055587,9.967797
06/10/2020,52.41,13.987309,9.928203
07/10/2020,53.360001,14.143373,10.007391
08/10/2020,53.599998,14.05071,10.136071
09/10/2020,54.419998,14.123866,10.066782
12/10/2020,55.630001,14.075096,10.076681
13/10/2020,55.560001,14.114113,9.938102
14/10/2020,55.080002,13.977555,9.898508
15/10/2020,54.889999,14.026946,9.928203
16/10/2020,54.91,13.987433,9.957899
19/10/2020,53.98,14.007191,9.799522
20/10/2020,54.189999,14.076337,9.908406
21/10/2020,54.080002,14.115849,9.948
22/10/2020,53.990002,13.997312,10.02
23/10/2020,54.349998,13.928165,10.01
26/10/2020,53.369999,13.770114,9.8
27/10/2020,53.599998,13.868896,9.73
28/10/2020,51.639999,13.718748,9.5
29/10/2020,52.380001,13.799749,9.56
30/10/2020,51.23,13.69109,9.52
02/11/2020,51.529999,13.770114,9.62
03/11/2020,52.459999,13.789871,9.76
04/11/2020,54.759998,13.859017,9.77
05/11/2020,55.950001,14.046702,9.88
06/11/2020,55.82,13.957799,9.82
09/11/2020,54.830002,14.184996,10.33
10/11/2020,54.110001,14.392437,10.53
11/11/2020,55.060001,14.59,10.54
12/11/2020,54.709999,14.36,10.45
13/11/2020,55.259998,14.52,10.62
16/11/2020,55.419998,14.5,10.79
17/11/2020,55.279999,14.53,10.9
18/11/2020,54.810001,14.74,10.91
19/11/2020,55.259998,14.76,10.86
20/11/2020,54.950001,14.74,10.79
23/11/2020,55.110001,14.76,10.89
24/11/2020,55.700001,14.97,11.06
25/11/2020,55.98,14.85,11.02
27/11/2020,56.419998,14.99,11.01
30/11/2020,56.459999,15.09,10.91
01/12/2020,57,15.23,11.03
02/12/2020,56.959999,15.48,11.09
